"nAbb","cliente","inizio","fine","prezzo"
"3","268","2022-03-15","2023-03-15","120"
"4","186","2023-11-22","2024-11-21","200"
"5","114","2022-11-06","2023-11-06","150"
"6","1","2022-07-28","2023-07-28","180"
"7","35","2024-04-26","2025-04-26","120"
"8","9","2023-11-20","2024-11-19","150"
"9","166","2021-06-22","2022-06-22","180"
"10","177","2020-09-14","2021-09-14","120"
"11","272","2024-02-07","2025-02-06","150"
"12","238","2023-05-31","2024-05-30","120"
"13","207","2024-09-29","2025-09-29","150"
"14","193","2023-07-05","2024-07-04","100"
"15","103","2023-04-20","2024-04-19","120"
"16","187","2020-12-22","2021-12-22","180"
"17","220","2024-12-21","2025-12-21","150"
"18","201","2021-12-13","2022-12-13","180"
"19","155","2024-10-28","2025-10-28","200"
"20","283","2023-04-16","2024-04-15","180"
"21","128","2021-12-19","2022-12-19","150"
"22","256","2024-12-16","2025-12-16","150"
"23","119","2023-12-01","2024-11-30","200"
"24","134","2024-09-12","2025-09-12","200"
"25","281","2021-10-03","2022-10-03","180"
"26","60","2024-09-02","2025-09-02","180"
"27","160","2023-02-09","2024-02-09","180"
"28","202","2021-07-09","2022-07-09","120"
"29","183","2023-04-10","2024-04-09","120"
"30","77","2021-10-23","2022-10-23","100"
"31","234","2024-03-26","2025-03-26","120"
"32","198","2020-09-28","2021-09-28","120"
"33","299","2021-01-04","2022-01-04","150"
"34","224","2022-10-30","2023-10-30","180"
"35","165","2021-02-13","2022-02-13","180"
"36","221","2022-02-09","2023-02-09","180"
"37","101","2022-03-12","2023-03-12","180"
"38","106","2024-08-20","2025-08-20","150"
"39","177","2021-08-11","2022-08-11","100"
"40","297","2024-02-22","2025-02-21","180"
"41","57","2020-11-24","2021-11-24","180"
"42","128","2022-01-18","2023-01-18","120"
"43","21","2022-07-21","2023-07-21","120"
"44","286","2021-08-15","2022-08-15","120"
"45","175","2020-06-12","2021-06-12","150"
"46","295","2022-05-17","2023-05-17","150"
"47","197","2020-07-15","2021-07-15","120"
"48","138","2020-07-22","2021-07-22","120"
"49","299","2021-03-05","2022-03-05","150"
"50","284","2024-03-15","2025-03-15","200"
"51","281","2022-07-04","2023-07-04","150"
"52","209","2024-11-30","2025-11-30","180"
"53","232","2022-01-25","2023-01-25","200"
"54","265","2020-08-06","2021-08-06","200"
"55","39","2021-10-09","2022-10-09","120"
"56","289","2022-01-30","2023-01-30","180"
"57","96","2020-02-02","2021-02-01","150"
"58","133","2024-03-10","2025-03-10","200"
"59","106","2020-09-11","2021-09-11","120"
"60","67","2020-11-29","2021-11-29","180"
"61","272","2022-06-23","2023-06-23","150"
"62","113","2024-08-21","2025-08-21","150"
"63","50","2020-10-12","2021-10-12","180"
"64","227","2024-12-25","2025-12-25","100"
"65","265","2022-08-03","2023-08-03","100"
"66","254","2022-12-26","2023-12-26","180"
"67","222","2022-03-02","2023-03-02","100"
"68","183","2021-11-18","2022-11-18","200"
"69","248","2022-11-26","2023-11-26","120"
"70","204","2023-11-15","2024-11-14","200"
"71","127","2020-08-29","2021-08-29","200"
"72","86","2021-09-05","2022-09-05","120"
"73","18","2021-05-31","2022-05-31","150"
"74","94","2022-01-15","2023-01-15","100"
"75","239","2020-12-16","2021-12-16","120"
"76","37","2023-09-02","2024-09-01","150"
"77","18","2020-06-23","2021-06-23","120"
"78","297","2021-05-19","2022-05-19","150"
"79","187","2020-06-20","2021-06-20","100"
"80","69","2023-03-13","2024-03-12","120"
"81","238","2024-08-03","2025-08-03","100"
"82","260","2023-05-13","2024-05-12","120"
"83","255","2023-01-17","2024-01-17","100"
"84","219","2020-02-20","2021-02-19","180"
"85","221","2021-07-21","2022-07-21","150"
"86","18","2022-05-09","2023-05-09","180"
"87","18","2022-02-11","2023-02-11","150"
"88","187","2023-07-05","2024-07-04","200"
"89","42","2021-03-14","2022-03-14","150"
"90","197","2020-06-25","2021-06-25","180"
"91","50","2023-10-20","2024-10-19","180"
"92","294","2022-07-28","2023-07-28","200"
"93","272","2021-06-16","2022-06-16","180"
"94","114","2024-07-28","2025-07-28","200"
